rxn00006	CAT	DETOX1-PWY|Detoxification
rxn03638	G1PACT	Biosynthesis|Cell-Structure-Biosynthesis|Lipopolysaccharide-Biosynthesis|O-Antigen-Biosynthesis|OANTIGEN-PWY|Polyamine-Biosynthesis|UDP-NAc-Glucosamine-Biosynthesis|UDPNAGSYN-PWY
rxn03841	ADCL	ALL-CHORISMATE-PWY|Biosynthesis|Cofactor-Biosynthesis|FOLSYN-PWY|Folate-Biosynthesis|PWY-6543|PWY-6612|Vitamin-Biosynthesis
rxn03884	EDA	ENTNER-DOUDOROFF-PWY|Energy-Metabolism|GLYCOLYSIS-E-D
rxn03887	GALCTD	D-Galactarate-Degradation|Degradation|GALACTARDEG-PWY|GLUCARGALACTSUPER-PWY|SECONDARY-METABOLITE-DEGRADATION|SUGAR-ACIDS-DEG|Sugar-Derivatives
rxn03907	CMS	Biosynthesis|Cofactor-Biosynthesis|NONMEVIPP-PWY|Polyprenyl-Biosynthesis
rxn03908	CDPMEK	Biosynthesis|Cofactor-Biosynthesis|NONMEVIPP-PWY|Polyprenyl-Biosynthesis
rxn03909	DXPS	Biosynthesis|Cofactor-Biosynthesis|NONMEVIPP-PWY|PWY-6892|PWY0-845|PYRIDOXSYN-PWY|Polyprenyl-Biosynthesis|THISYN-PWY|Thiamine-Biosynthesis|Vitamin-B6-Biosynthesis|Vitamin-Biosynthesis
rxn03910	MCS	Biosynthesis|Cofactor-Biosynthesis|NONMEVIPP-PWY|Polyprenyl-Biosynthesis
rxn03916	GMHEPAT	Biosynthesis|CARBO-BIOSYNTHESIS|Carbohydrates-Biosynthesis|PWY0-1241|SUGAR-NUCLEOTIDES
rxn03919	MNXR2786	Biosynthesis|CARBO-BIOSYNTHESIS|Carbohydrates-Biosynthesis|PWY0-1241|SUGAR-NUCLEOTIDES
rxn03958	DXPRIi	Biosynthesis|Cofactor-Biosynthesis|NONMEVIPP-PWY|Polyprenyl-Biosynthesis
rxn04070	MNXR8716	Biosynthesis|Cofactor-Biosynthesis|PWY0-845|PYRIDOXSYN-PWY|Vitamin-B6-Biosynthesis|Vitamin-Biosynthesis
rxn04113	IDS1	Biosynthesis|Cofactor-Biosynthesis|NONMEVIPP-PWY|Polyprenyl-Biosynthesis
rxn04599	DHPPD	AROMATIC-COMPOUNDS-DEGRADATION|Degradation|HCAMHPDEG-PWY|PWY0-1277|Phenolic-Compounds-Degradation
rxn04600	DHCIND	AROMATIC-COMPOUNDS-DEGRADATION|Degradation|PWY-6690|Phenolic-Compounds-Degradation
rxn04750	HADPCOADH3	AMINE-DEG|AROMATIC-COMPOUNDS-DEGRADATION|Degradation|PWY-6071|PWY0-321|Phenolic-Compounds-Degradation|Phenylacetate-Degradation
rxn04783	GART	AIR-Biosynthesis|Biosynthesis|DENOVOPURINE2-PWY|Nucleotide-Biosynthesis|PRPP-PWY|PUR-NUC-SYN|PWY-6122|PWY-6277|Purine-Nucleotide-De-Novo-Biosynthesis
rxn04792	MNXR2062	C1-COMPOUNDS|Degradation|Formaldehyde-Oxidation|PWY-1801
rxn04938	MNXR8605	C1-COMPOUNDS|Degradation|Formaldehyde-Oxidation|PWY-1801
rxn04954	MTHFO	1CMET2-PWY|Biosynthesis|Cofactor-Biosynthesis|Folate-Biosynthesis|Vitamin-Biosynthesis
rxn04996	DMPPS_syn	Biosynthesis|Cofactor-Biosynthesis|NONMEVIPP-PWY|Polyprenyl-Biosynthesis
rxn05005	MNXR5475	Biosynthesis|Cofactor-Biosynthesis|PWY-5194|Porphyrin-Compounds-Biosynthesis
rxn05006	MNXR6043	Biosynthesis|Cofactor-Biosynthesis|PWY-5194|Porphyrin-Compounds-Biosynthesis
rxn05024	MNXR6311	ALL-CHORISMATE-PWY|Biosynthesis|Cofactor-Biosynthesis|DHNA-Biosynthesis|Menaquinone-Biosynthesis|PWY-5837|PWY-5838|Quinone-Biosynthesis
rxn05029	CBIAT	Adenosylcobalamin-Biosynthesis|Biosynthesis|COBALSYN-PWY-1|Cobalamin-Biosynthesis|Cofactor-Biosynthesis|Vitamin-Biosynthesis
rxn05039	AUS	Biosynthesis|Cofactor-Biosynthesis|Flavin-Biosynthesis|RIBOSYN2-PWY|Vitamin-Biosynthesis
rxn05040	DB4PS	Biosynthesis|Cofactor-Biosynthesis|Flavin-Biosynthesis|RIBOSYN2-PWY|Vitamin-Biosynthesis
rxn05116	MNXR85587	Biosynthesis|Cofactor-Biosynthesis|PWY0-845|PYRIDOXSYN-PWY|Vitamin-B6-Biosynthesis|Vitamin-Biosynthesis
rxn05126	MNXR85589	AMINE-DEG|ARGDEG-PWY|ARGININE-DEG|Amino-Acid-Degradation|Degradation|ORNARGDEG-PWY|ORNDEG-PWY|PWY0-1221|Putrescine-Degradation
rxn05127	GGGABADr	AMINE-DEG|ARGDEG-PWY|ARGININE-DEG|Amino-Acid-Degradation|Degradation|ORNARGDEG-PWY|ORNDEG-PWY|PWY0-1221|Putrescine-Degradation
rxn05337	3OAR60	Biosynthesis|Fatty-acid-biosynthesis|Lipid-Biosynthesis|PWY-5971|Palmitate-Biosynthesis
rxn05338	3OAR100	Biosynthesis|Fatty-acid-biosynthesis|Lipid-Biosynthesis|PWY-5971|Palmitate-Biosynthesis
rxn05340	3OAR120	Biosynthesis|Fatty-acid-biosynthesis|Lipid-Biosynthesis|PWY-5971|Palmitate-Biosynthesis
rxn05342	rxn05342_c0	Biosynthesis|Fatty-acid-biosynthesis|Lipid-Biosynthesis|PWY-5971|Palmitate-Biosynthesis
rxn05343	rxn05343_c0	Biosynthesis|Fatty-acid-biosynthesis|Lipid-Biosynthesis|PWY-5971|Palmitate-Biosynthesis
rxn05345	rxn05345_c0	Biosynthesis|Fatty-acid-biosynthesis|Lipid-Biosynthesis|PWY-5971|Palmitate-Biosynthesis
rxn05346	rxn05346_c0	Biosynthesis|Fatty-acid-biosynthesis|Lipid-Biosynthesis|PWY-5971|Palmitate-Biosynthesis
rxn05347	rxn05347_c0	Biosynthesis|FASYN-INITIAL-PWY|Fatty-acid-biosynthesis|Lipid-Biosynthesis|PWY-5965|PWY-5966|PWY0-881
rxn05348	rxn05348_c0	Biosynthesis|Fatty-acid-biosynthesis|Lipid-Biosynthesis|PWY-5971|Palmitate-Biosynthesis
rxn05349	ACOATA	Biosynthesis|FASYN-INITIAL-PWY|Fatty-acid-biosynthesis|Lipid-Biosynthesis|PWY-5966|PWY0-881
rxn05350	3OAS80	Biosynthesis|Fatty-acid-biosynthesis|Lipid-Biosynthesis|PWY-5971|Palmitate-Biosynthesis
rxn05465	MCOATA	Biosynthesis|FASYN-INITIAL-PWY|Fatty-acid-biosynthesis|Lipid-Biosynthesis|PWY-4381|PWY0-881
rxn06723	rxn06723_c0	Biosynthesis|Cell-Structure-Biosynthesis|KDO-NAGLIPASYN-PWY|LPSSYN-PWY|Lipid-Biosynthesis|Lipopolysaccharide-Biosynthesis|NAGLIPASYN-PWY
rxn06729	UAGAAT	Biosynthesis|Cell-Structure-Biosynthesis|KDO-NAGLIPASYN-PWY|LPSSYN-PWY|Lipid-Biosynthesis|Lipopolysaccharide-Biosynthesis|NAGLIPASYN-PWY
rxn08094	AKGDH	Energy-Metabolism|GLYCOLYSIS-TCA-GLYOX-BYPASS|GLYCOLYSIS-VARIANTS|TCA|TCA-GLYOX-BYPASS|TCA-VARIANTS
rxn08173	ATPS4r	Biosynthesis|DENOVOPURINE2-PWY|Nucleotide-Biosynthesis|PRPP-PWY|PUR-NUC-SYN|PWY-6126|Purine-Nucleotide-De-Novo-Biosynthesis
rxn08352	DMPPS	Biosynthesis|Cofactor-Biosynthesis|NONMEVIPP-PWY|Polyprenyl-Biosynthesis
rxn08647	GLYCK2	Carbohydrates-Degradation|D-Galactarate-Degradation|D-Glucarate-Degradation|Degradation|GALACTARDEG-PWY|GLUCARDEG-PWY|GLUCARGALACTSUPER-PWY|PWY0-1300|SECONDARY-METABOLITE-DEGRADATION|SUGAR-ACIDS-DEG|Sugar-Derivatives|Sugars-And-Polysaccharides
rxn08711	HEPT2	Biosynthesis|LIPA-CORESYN-PWY|LPSSYN-PWY|Lipid-Biosynthesis
rxn08756	IPDPS	Biosynthesis|Cofactor-Biosynthesis|NONMEVIPP-PWY|Polyprenyl-Biosynthesis
rxn09177	PPNCL2	Biosynthesis|COA-PWY|CoA-Biosynthesis|Cofactor-Biosynthesis|PANTOSYN-PWY|Vitamin-Biosynthesis
rxn09320	TPRDCOAS	Biosynthesis|CoA-Biosynthesis|Cofactor-Biosynthesis|Dephospho-CoA-Biosynthesis|P2-PWY
rxn12510	PNTK	Biosynthesis|CoA-Biosynthesis|Cofactor-Biosynthesis|PANTO-PWY|PANTOSYN-PWY|Pantothenate-Biosynthesis|Vitamin-Biosynthesis
